"ID_ciasta","Nazwa Ciasta","Nr receptury","Data zatwierdzenia","Aktualna","Wersja"
442,"Ciasto kruche MIDI Asda- SPODY","696",15.3.2023 00:00:00,1,4
443,"Ciasto kruche MIDI Asda- PRZYKRYWKI","697",15.3.2023 00:00:00,1,4
444,"Biszkopt Celebration Cytrynowy","698",19.5.2023 00:00:00,1,6
445,"Aldi Holly Lane Rich Fruit Cake 2023","701",6.4.2023 00:00:00,1,9
446,"Ciasto kruche MIDI Waitrose- SPODY","702",16.5.2023 00:00:00,1,5
447,"Ciasto kruche MIDI Waitrose - PRZYKRYWKI","703",16.5.2023 00:00:00,1,6
448,"Ciasto Kruche MIDI Dunnes - Spody","704",13.4.2023 00:00:00,1,6
449,"Ciasto Kurche MIDI Dunnes - Pokrywki","705",13.4.2023 00:00:00,1,4
450,"Ciasto kruche MIDI Brakes - Pokrywka","706",14.4.2023 00:00:00,0,3
451,"Xmas Iceland Premium Fruit Cake","707",5.5.2023 00:00:00,1,6
453,"Biszkopt Jasny Celebration","708",19.7.2023 00:00:00,1,7
454,"Biszkopt Różowy Celebration","709",19.7.2023 00:00:00,1,8
456,"Ciasto kruche MIDI  ALDI- Spody","710",28.4.2023 00:00:00,1,4
457,"Ciasto kruche MIDI  ALDI - Przykrywki","711",19.5.2023 00:00:00,1,6
458,"Ciasto Kruche MIDI Bookers - Spód","712",23.5.2023 00:00:00,1,6
459,"Ciasto Kruche MIDI Bookers - Pokrywka","713",23.5.2023 00:00:00,1,6
461,"Biszkopt Czekoladowy Celebrabion RA Molly","714",6.6.2023 00:00:00,1,2
462,"Biszkopt kakaowy - Choceur Cake Bar Aldi","717",10.7.2023 00:00:00,1,5
463,"Biszkopt mleczny","718",10.7.2023 00:00:00,1,3
464,"Krem mleczny","719",11.7.2023 00:00:00,0,1
465,"Biszkopt Czekoladowy Celebration Hull RA","721",19.10.2023 00:00:00,1,1
466,"Biszkopt o smaku waniliowym Hull","722",30.10.2023 00:00:00,0,3
467,"Biszkopt Czekoladowy RFA Cubes Free Range Egg","725",11.12.2023 00:00:00,1,1
