"ID_pola","ID_kremu","ID_surowca","Ilosc","Nazwa_kremu","Nr receptury","Data zatwierdzenia","wersja","ID_typskladnika"
15140,47,49,33.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,7,1
15141,47,530,6.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,7,1
15142,47,243,50.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,8,1
15143,47,12,3.30,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,8,1
15144,47,11,0.50,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,8,1
15145,47,43,6.50,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,8,1
15146,47,36,0.35,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,8,1
15147,47,139,0.12,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,8,1
15148,47,67,11.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,8,1
15149,47,49,33.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,8,1
15150,47,530,6.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,8,1
15151,47,242,50.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,9,1
15152,47,12,3.30,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,9,1
15153,47,11,0.50,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,9,1
15154,47,43,6.50,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,9,1
15155,47,36,0.35,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,9,1
15156,47,139,0.12,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,9,1
15157,47,67,11.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,9,1
15158,47,49,33.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,9,1
15159,47,530,6.00,"Krem czekoladowy UTZ- Torcik","125",17.1.2018 00:00:00,9,1
15160,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,1,1
15161,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,1,1
15162,52,2,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,1,1
15163,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,1,1
15164,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,1,1
15165,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,1,1
15166,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,1,1
15167,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,1,1
15168,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,1,1
15169,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,2,1
15170,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,2,1
15171,52,243,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,2,1
15172,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,2,1
15173,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,2,1
15174,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,2,1
15175,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,2,1
15176,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,2,1
15177,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,2,1
15178,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,3,1
15179,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,3,1
15180,52,243,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,3,1
15181,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,3,1
15182,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,3,1
15183,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,3,1
15184,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,3,1
15185,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,3,1
15186,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,3,1
15187,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,4,1
15188,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,4,1
15189,52,243,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,4,1
15190,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,4,1
15191,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,4,1
15192,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,4,1
15193,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,4,1
15194,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,4,1
15195,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,4,1
15196,52,243,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,5,1
15197,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,5,1
15198,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,5,1
15199,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,5,1
15200,52,49,53.00,"Krem czekoladowy","233",22.4.2009 00:00:00,5,1
15201,52,38,30.00,"Krem czekoladowy","233",22.4.2009 00:00:00,5,1
15202,52,12,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,5,1
15203,52,11,0.80,"Krem czekoladowy","233",22.4.2009 00:00:00,5,1
15204,52,15,5.00,"Krem czekoladowy","233",22.4.2009 00:00:00,5,1
15205,52,243,50.00,"Krem czekoladowy","233",22.4.2009 00:00:00,6,1
15206,52,43,11.00,"Krem czekoladowy","233",22.4.2009 00:00:00,6,1
15207,52,34,0.45,"Krem czekoladowy","233",22.4.2009 00:00:00,6,1
15208,52,71,0.40,"Krem czekoladowy","233",22.4.2009 00:00:00,6,1
