"ID_wyrobu","Opis_wyrobu","Kod FG","Nazwa_wyrobu","Data_wprowadzenia","Indeks CMJ","Waga jednostki netto","ID_rodzaj_wyrobu","Ilosc_w_pudle"
247,"Secretto- Ciasteczka kruche z kawałkami czekolady i rodzynkami","S00001","-Secretto- Ciasteczka kruche  z kawałkami czekolady i rodzynkami",27.7.2011 00:00:00,"22K03403",125.00,4,21.00
248,"Secretto- Ciasteczka  kruche z kawałkami czekolady i orzechami laskowymi","S00002","-Secretto- Ciasteczka kruche z kawałkami czekolady i orzechami laskowymi",27.7.2011 00:00:00,"22K03402",125.00,4,21.00
251,"12 Extra Special Mini Mince Pies","FG020137","-12 Extra Special Mini Mince Pies",18.8.2011 00:00:00,"22T10108",266.40,1,12.00
252,"Rolada w czekoladzie z kremem śmietankowym i nadzieniem wiśniowym","EL002","-Szwarcwalder kirsch (Chocorol kersen) EL002",7.9.2011 00:00:00,"22C20001",300.00,2,6.00
253,"Value Mince Pies","FG020169","-Savers Christmas 6 Mince Pies",1.9.2011 00:00:00,"22T10203",234.00,1,24.00
256,"Roladki z kremem o smaku śmietankowym w czekoladzie z białą dekoracją","VOS01","Choco Cakerolletjes VOS01 (RSPO-MB)",14.10.2011 00:00:00,"22C20002",150.00,2,12.00
261,"Roladki Truskawkowe z kremem o smaku waniliowym z dekoracją GK006","GK006","-6 Strawberry Mini Rolls with dark deco stripes GK006 (RSPO-MB)",29.12.2011 00:00:00,"22C20066",150.00,2,12.00
262,"Babeczki z kremem w czekoladzie 4x130g","Z00004","-Babeczki z kremem w czekoladzie",22.12.2011 00:00:00,"22C00100",130.00,2,4.00
263,"Mini roladki czekoladowe z kremem o smaku śmietankowym w czekoladzie mlecznej.","AL004P","-Choco mini rolletjes Melchocolade & Creme AL004",20.12.2011 00:00:00,"22C20006",150.00,2,22.00
265,"Rolada z kremem śmietankowym i nadzieniem wiśniowym w czekoladzie mlecznej dekorowana polewą kakaową","EL003","-Chocolade Cakerol met kersen an creme Chocolicious     EL003",2.2.2012 00:00:00,"22C20004",300.00,2,6.00
